rank	gene	module	activation	attenuation	activation_concordance	attenuation_concordance	LODO_retention	rank_stability	technical_flag
118	FAM83G	D7_M3	1.50015898873013	1.33580426126761	3	3	3	0.942286103263394	NO
119	KDELR2	D7_M3	1.87413651066963	0.955851177601419	3	3	3	0.955028271730077	NO
120	TXNDC17	D7_M3	2.48995418861467	0.569035798405443	3	3	3	0.990905408758734	NO
121	GINS3	D7_M3	1.58260986864332	1.11650752439043	3	3	3	0.936380312491798	NO
122	LSM4	D7_M3	1.92521956367521	0.897352909164274	3	3	3	0.988299457129437	NO
123	AC003092.1	D7_M3	1.77583551462318	1.16131325701242	3	3	3	0.94847972683712	NO
124	AGMAT	D7_M3	1.94188828887823	0.879181966331807	3	3	3	0.95091290816279	NO
125	RIN1	D7_M3	1.96288792256707	0.848670453617545	3	3	3	0.979652553647098	NO
126	JPT1	D7_M3	2.44782818208884	0.561616865302899	3	3	3	0.98245015020276	NO
127	CCM2	D7_M3	1.63589460667319	1.05034105011037	3	3	3	0.967073041164746	NO
128	NDUFA7	D7_M3	2.25983191476761	0.674776435052302	3	3	3	0.99038342828517	NO
129	KLHL17	D7_M3	1.85633035740455	0.90213496103902	3	3	3	0.981745159575423	NO
130	FAH	D7_M3	1.8647210535354	0.90855069260843	3	3	3	0.985804920250889	NO
131	CSF1R	D7_M3	1.50063392403304	1.11586592818427	3	3	3	0.956472466401145	NO
132	SLC25A15	D7_M3	1.87690802737642	0.875290553425	3	3	3	0.979700579423705	NO
133	VDAC1	D7_M3	1.88511218605453	0.878641508273581	3	3	3	0.993995334319398	NO
134	SPA17	D7_M3	2.19589186680818	0.701136096871408	3	3	3	0.973666515206809	NO
135	KCTD17	D7_M3	1.34797913962521	1.21874909881631	3	3	3	0.950832373045876	NO
136	AURKAIP1	D7_M3	1.79559394801536	0.929895711075081	3	3	3	0.982569603460523	NO
137	SMARCA4	D7_M3	1.58260849396653	1.04799176130046	3	3	3	0.994412177145765	NO
138	SYT7	D7_M3	1.96609440624357	0.821386766292721	3	3	3	0.930451632543802	NO
139	CGREF1	D7_M3	2.4265490299616	0.565234731677915	3	3	3	0.923731091270974	NO
140	CSK	D7_M3	1.35156458434249	1.1690776732093	3	3	3	0.989519046807921	NO
141	MZT1	D7_M3	1.54302325208277	1.0571420643578	3	3	3	0.980388788512532	NO
142	RP11-505K9.1	D7_M3	1.63880504902586	1.00110160603842	3	3	3	0.971941385692583	NO
143	GSTO2	D7_M3	2.07093882943076	0.760089573969531	3	3	3	0.909069005945012	NO
144	CHAF1B	D7_M3	1.43988400711651	1.0874248950154	3	3	3	0.962847652059456	NO
145	ARPC1B	D7_M3	2.50171628465023	0.430445241628522	3	3	3	0.989440876539816	NO
146	LRWD1	D7_M3	1.74164451533251	1.0404732430467	3	3	3	0.975677241366539	NO
147	TMEM132A	D7_M3	1.76518074532213	0.867919440710677	3	3	3	0.990783686876746	NO
148	ZDHHC16	D7_M3	1.77438994785746	0.880851742495581	3	3	3	0.926460764158734	NO
149	TELO2	D7_M3	1.27275854996518	1.15782397013003	3	3	3	0.947877032388993	NO
150	LONP1	D7_M3	1.62630997294425	0.951247495516458	3	3	3	0.990611381519737	NO
151	EXOSC9	D7_M3	1.75752055439189	0.871335989350926	3	3	3	0.970852062921575	NO
152	TRIM72	D7_M3	1.41351861955836	1.24563146552327	3	3	3	0.913621092148928	NO
